Tiempo,EMG_mV_raw,EMG_mV_filtrado
59.833,-0.019163466303270562,2.2542938597486137e-06
59.834,-0.006387822101090189,2.281325963970119e-06
59.835,-0.0031939110505450944,2.3071221285064034e-06
59.836,-0.0031939110505450944,2.332461993700988e-06
59.837,0.0031939110505450944,2.3582726702168346e-06
59.838,0.02235737735381566,2.384178908173565e-06
59.839,0.04152084365708622,2.4096004989277565e-06
59.84,0.05429648785926659,2.4353625885237936e-06
59.841,0.025551288404360755,2.460920591877349e-06
59.842,-0.012775644202180378,2.4872083313591965e-06
59.843,-0.012775644202180378,2.5169861119981673e-06
59.844,-0.02235737735381566,2.5484434946818794e-06
59.845,-0.038326932606541124,2.5808661738929567e-06
59.846,-0.04152084365708622,2.6141074840189648e-06
59.847,-0.047908665758176414,2.6469741135655904e-06
59.848,-0.04471475470763132,2.680084384772548e-06
59.849,-0.012775644202180378,2.7136480418150996e-06
59.85,0.0031939110505450944,2.747577883095748e-06
59.851,0.009581733151635281,2.7822979374892903e-06
59.852,0.0031939110505450944,2.817489738007741e-06
59.853,0.035133021555996034,2.852455412551876e-06
59.854,0.02235737735381566,2.8875345558729686e-06
59.855,0.02235737735381566,2.9234763341327254e-06
59.856,0.035133021555996034,2.959374467056043e-06
59.857,0.038326932606541124,2.9956772064165785e-06
59.858,0.028745199454905845,3.03150359172244e-06
59.859,-0.0031939110505450944,3.0642080497326205e-06
59.86,-0.006387822101090189,3.0955137437182245e-06
59.861,-0.038326932606541124,3.1260589541577984e-06
59.862,-0.09262342046580772,3.155999063426123e-06
59.863,-0.07665386521308225,3.1865434954682447e-06
59.864,-0.07665386521308225,3.2170260523195884e-06
59.865,-0.07665386521308225,3.2472080874759006e-06
59.866,-0.038326932606541124,3.2771624796819218e-06
59.867,-0.019163466303270562,3.3063763131668157e-06
59.868,-0.0031939110505450944,3.3351695636112517e-06
59.869,0.019163466303270562,3.364443099822529e-06
59.87,0.035133021555996034,3.393681840082335e-06
59.871,0.02235737735381566,3.4217008472587626e-06
59.872,0.047908665758176414,3.4497609746184764e-06
59.873,0.038326932606541124,3.4773965753948303e-06
59.874,0.012775644202180378,3.5056201003184696e-06
59.875,-0.012775644202180378,3.5378528249686724e-06
59.876,-0.025551288404360755,3.571940911993854e-06
59.877,-0.03193911050545094,3.606296285007374e-06
59.878,-0.05749039890981169,3.64131272172773e-06
59.879,-0.060684309960356786,3.676989337052818e-06
59.88,-0.06387822101090188,3.712762865502372e-06
59.881,-0.07345995416253714,3.749228520641477e-06
59.882,-0.05429648785926659,3.7854523151558303e-06
59.883,-0.019163466303270562,3.818707314660107e-06
59.884,0.0,3.850628935287396e-06
59.885,0.0,3.882506411866703e-06
59.886,0.009581733151635281,3.913897446823727e-06
59.887,0.028745199454905845,3.944643525633447e-06
59.888,0.03193911050545094,3.975293498045553e-06
59.889,0.019163466303270562,4.004953375222092e-06
59.89,0.02235737735381566,4.034716314300202e-06
59.891,0.012775644202180378,4.067529533567801e-06
59.892,-0.01596955525272547,4.101263422528352e-06
59.893,-0.028745199454905845,4.135676590897214e-06
59.894,-0.047908665758176414,4.1700410101331224e-06
59.895,-0.06707213206144698,4.201680238634767e-06
59.896,-0.06387822101090188,4.232358449262086e-06
59.897,-0.07026604311199207,4.262017800546132e-06
59.898,-0.06387822101090188,4.291143113486718e-06
59.899,-0.05110257680872151,4.322855746584377e-06
59.9,-0.012775644202180378,4.355092821670975e-06
59.901,0.0,4.384908058323686e-06
59.902,0.012775644202180378,4.413588387153686e-06
59.903,0.0,4.443517769134249e-06
59.904,0.006387822101090189,4.471628828233749e-06
59.905,0.03193911050545094,4.499529531387927e-06
59.906,0.05110257680872151,4.524156314755349e-06
59.907,0.04471475470763132,4.536104279796544e-06
